"","x"
"Tres_A14.S265","Tres_other"
"Tres_A4.S217","Tres_other"
"Tres_A6.S233","Tres_other"
"Tres_A7.S241","Tres_other"
"Tres_A8.S249","Tres_other"
"Tres_B11.S274","Tres_other"
"Tres_B12.S282","Tres_other"
"Tres_B14.S266","Tres_other"
"Tres_B1.S194","Tres_other"
"Tres_B3.S210","Tres_other"
"Tres_B4.S218","Tres_other"
"Tres_B6.S234","Tres_other"
"Tres_B7.S242","Tres_SMC"
"Tres_C14.S267","Tres_other"
"Tres_C1.S195","Tres_other"
"Tres_C3.S211","Tres_other"
"Tres_C4.S219","Tres_other"
"Tres_C5.S227","Tres_pigmentation"
"Tres_C6.S235","Tres_other"
"Tres_C7.S243","Tres_other"
"Tres_C8.S251","Tres_pigmentation"
"Tres_C9.S259","Tres_other"
"Tres_D11.S276","Tres_other"
"Tres_D12.S284","Tres_SMC"
"Tres_D14.S268","Tres_other"
"Tres_D1.S196","Tres_SMC"
"Tres_D3.S212","Tres_other"
"Tres_D4.S220","Tres_other"
"Tres_D5.S228","Tres_other"
"Tres_D6.S236","Tres_other"
"Tres_D7.S244","Tres_other"
"Tres_D8.S252","Tres_other"
"Tres_E11.S277","Tres_SMC"
"Tres_E12.S285","Tres_other"
"Tres_E1.S197","Tres_other"
"Tres_E3.S213","Tres_other"
"Tres_E4.S221","Tres_other"
"Tres_E5.S229","Tres_other"
"Tres_E6.S237","Tres_other"
"Tres_E7.S245","Tres_pigmentation"
"Tres_E8.S253","Tres_other"
"Tres_E9.S261","Tres_other"
"Tres_F11.S278","Tres_other"
"Tres_F12.S286","Tres_other"
"Tres_F14.S270","Tres_other"
"Tres_F1.S198","Tres_other"
"Tres_F4.S222","Tres_other"
"Tres_F6.S238","Tres_other"
"Tres_F7.S246","Tres_other"
"Tres_F8.S254","Tres_other"
"Tres_F9.S262","Tres_other"
"Tres_G1.S199","Tres_other"
"Tres_G3.S215","Tres_other"
"Tres_G5.S231","Tres_other"
"Tres_G6.S239","Tres_other"
"Tres_G7.S247","Tres_other"
"Tres_G8.S255","Tres_SMC"
"Tres_G9.S263","Tres_other"
"Tres_H11.S280","Tres_other"
"Tres_H14.S272","Tres_other"
"Tres_H2.S208","Tres_other"
"Tres_H4.S224","Tres_other"
"Tres_H6.S240","Tres_other"
"Tres_H9.S264","Tres_other"
